id_kota;id_provinsi;nama_kota
1;1;Kab. Aceh Barat
2;1;Kab. Aceh Barat Daya
3;1;Kab. Aceh Besar
4;1;Kab. Aceh Jaya
5;1;Kab. Aceh Selatan
6;1;Kab. Aceh Singkil
7;1;Kab. Aceh Tamiang
8;1;Kab. Aceh Tengah
9;1;Kab. Aceh Tenggara
10;1;Kab. Aceh Timur
11;1;Kab. Aceh Utara
12;1;Kab. Bener Meriah
13;1;Kab. Bireuen
14;1;Kab. Gayo Lues
15;1;Kab. Nagan Raya
16;1;Kab. Pidie
17;1;Kab. Pidie Jaya
18;1;Kab. Simeulue
19;1;Kota Banda Aceh
20;1;Kota Langsa
21;1;Kota Lhokseumawe
22;1;Kota Sabang
23;1;Kota Subulussalam
24;2;Kab. Badung
25;2;Kab. Bangli
26;2;Kab. Buleleng
27;2;Kab. Gianyar
28;2;Kab. Jembrana
29;2;Kab. Karangasem
30;2;Kab. Klungkung
31;2;Kab. Tabanan
32;2;Kota Denpasar
33;3;Kab. Lebak
34;3;Kab. Pandeglang
35;3;Kab. Serang
36;3;Kab. Tangerang
37;3;Kota Cilegon
38;3;Kota Serang
39;3;Kota Tangerang
40;3;Kota Tangerang Selatan
41;4;Kab. Bengkulu Selatan
42;4;Kab. Bengkulu Tengah
43;4;Kab. Bengkulu Utara
44;4;Kab. Kaur
45;4;Kab. Kepahiang
46;4;Kab. Lebong
47;4;Kab. Muko Muko
48;4;Kab. Rejang Lebong
49;4;Kab. Seluma
50;4;Kota Bengkulu
51;5;Kab. Bantul
52;5;Kab. Gunungkidul
53;5;Kab. Kulon Progo
54;5;Kab. Sleman
55;5;Kota Yogyakarta
56;6;Kab. Adm. Kep. Seribu
57;6;Kota Adm. Jakarta Barat
58;6;Kota Adm. Jakarta Pusat
59;6;Kota Adm. Jakarta Selatan
60;6;Kota Adm. Jakarta Timur
61;6;Kota Adm. Jakarta Utara
62;7;Kab. Boalemo
63;7;Kab. Bone Bolango
64;7;Kab. Gorontalo
65;7;Kab. Gorontalo Utara
66;7;Kab. Pohuwato
67;7;Kota Gorontalo
68;8;Kab. Batanghari
69;8;Kab. Bungo
70;8;Kab. Kerinci
71;8;Kab. Merangin
72;8;Kab. Muaro Jambi
73;8;Kab. Sarolangun
74;8;Kab. Tanjung Jabung Barat
75;8;Kab. Tanjung Jabung Timur
76;8;Kab. Tebo
77;8;Kota Jambi
78;8;Kota Sungai Penuh
79;9;Kab. Bandung
80;9;Kab. Bandung Barat
81;9;Kab. Bekasi
82;9;Kab. Bogor
83;9;Kab. Ciamis
84;9;Kab. Cianjur
85;9;Kab. Cirebon
86;9;Kab. Garut
87;9;Kab. Indramayu
88;9;Kab. Karawang
89;9;Kab. Kuningan
90;9;Kab. Majalengka
91;9;Kab. Pangandaran
92;9;Kab. Purwakarta
93;9;Kab. Subang
94;9;Kab. Sukabumi
95;9;Kab. Sumedang
96;9;Kab. Tasikmalaya
97;9;Kota Bandung
98;9;Kota Banjar
99;9;Kota Bekasi
100;9;Kota Bogor
101;9;Kota Cimahi
102;9;Kota Cirebon
103;9;Kota Depok
104;9;Kota Sukabumi
105;9;Kota Tasikmalaya
106;10;Kab. Banjarnegara
107;10;Kab. Banyumas
108;10;Kab. Batang
109;10;Kab. Blora
110;10;Kab. Boyolali
111;10;Kab. Brebes
112;10;Kab. Cilacap
113;10;Kab. Demak
114;10;Kab. Grobogan
115;10;Kab. Jepara
116;10;Kab. Karanganyar
117;10;Kab. Kebumen
118;10;Kab. Kendal
119;10;Kab. Klaten
120;10;Kab. Kudus
121;10;Kab. Magelang
122;10;Kab. Pati
123;10;Kab. Pekalongan
124;10;Kab. Pemalang
125;10;Kab. Purbalingga
126;10;Kab. Purworejo
127;10;Kab. Rembang
128;10;Kab. Semarang
129;10;Kab. Sragen
